year,artist,title,track_id
2000,THIRD EYE BLIND,Never Let You Go,1sxUaLi0G2vB7dl4ogtCxH
2000,SMASH MOUTH,Then The Morning Comes,50MfV7a1pnOEcf2t9kobxW
2000,KID ROCK,Only God Knows Why,1rAzW6aco1ZtxLRx4XOagB
2000,TRACY LAWRENCE,Lesson Learned,7CCvEN547vCLqIfXvrPl3G
2000,RICKY MARTIN,Shake Your Bon-Bon,1yKDl9K9lrbIFSpPBzEQtb
2000,HOT BOYS,I Need A Hot Girl,25CnqAR7fzAQbb2SVoSa0b
2000,GARTH BROOKS,Do What You Gotta Do,5PVqGDjrL3AzbgRbqwIieC
2000,DA BRAT,Thats What Im Looking For,3hVNySmPHrzsrpwxL3j6vT
2000,DMX,Party Up,0LWkaEyQRkF0XAms8Bg1fC
2000,PHIL VASSAR,Carlene,339hc1FygD8oJl4kg24IjG
2000,METALLICA,No Leaf Clover,0n4AllHzf3ma4ki20Y9h00
2000,KEVON EDMONDS,24/7,4rZB2G955dQMcjlb7e3VNB
2000,GINUWINE / TYRESE / CASE,Best Man I Can Be,5FdmujV6PtMOHa23FoH67Z
2000,DRAMA,Left Right Left,0vk5b6kj3QISHg4fpRPi6n
2000,KUMBIA KINGS,U Dont Love Me,71vYy0ais2UtIdkFOGtoUt
2000,2 PAC,Baby Dont Cry,3y5pef5Z472KoYxaSdig9I
2000,WHITNEY HOUSTON,I Learned From The Best,3wACjmQo7ZkRNMLfZXndFB
2000,MINT CONDITION,If You Love Me,3VZMAx8GdrO73kvTZDD8rU
2000,GINUWINE,None Of Ur Friends Business,6t8JpJtI0PgVRSuMDGWZlH
2000,BLACK ROB,Whoa!,71u5SjnkSQgzIt1UzHchbi
2000,REBA,What Do You Say,5hc4uC9JxovPgPF3xRHUEV
2000,BRAD PAISLEY,He Didnt Have To Be,1LONTBZZRxDVx4wEvdcCLd
2000,JENNIFER LOPEZ,Feelin So Good,1AlvKwk3NBZ8lAt7GC6SiT
2000,HOKU,Another Dumb Blonde,0RhkktMnJyR08vMnE34epK
2000,FOO FIGHTERS,Learn To Fly,5OQsiBsky2k2kDKy2bX2eT
2000,TLC,Dear Lie,08vjsE3N31ai3ARwj5uW2i
2000,MARTINA McBRIDE,Loves The Only House,5iCNGJRHGUC19dl0JdXZNl
2000,JO DEE MESSINA,Because You Love Me,2lZkIlYXN5SR0UWFgljDCd
