year,artist,title,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,success
2017,BIG SEAN,Jump Out The Window,1jQsKN68yE94tMYml0wHMd,0.747,0.704,1.0,-6.743,1.0,0.0986,0.136,0.0,0.131,0.494,136.936,audio_features,1jQsKN68yE94tMYml0wHMd,spotify:track:1jQsKN68yE94tMYml0wHMd,https://api.spotify.com/v1/tracks/1jQsKN68yE94tMYml0wHMd,https://api.spotify.com/v1/audio-analysis/1jQsKN68yE94tMYml0wHMd,213693.0,4.0,1.0
2017,BIG SEAN,Owe Me,1u0MOgWF1bbylVxpJG2ZjB,0.62,0.609,8.0,-8.831,1.0,0.145,0.44,0.0,0.115,0.404,142.042,audio_features,1u0MOgWF1bbylVxpJG2ZjB,spotify:track:1u0MOgWF1bbylVxpJG2ZjB,https://api.spotify.com/v1/tracks/1u0MOgWF1bbylVxpJG2ZjB,https://api.spotify.com/v1/audio-analysis/1u0MOgWF1bbylVxpJG2ZjB,271693.0,4.0,1.0
2017,ARIANA GRANDE,Beauty And The Beast,7wMPhUSe6CZga1vOMpLTJP,0.489,0.54,6.0,-7.046,1.0,0.0288,0.126,0.0,0.103,0.27,81.4,audio_features,7wMPhUSe6CZga1vOMpLTJP,spotify:track:7wMPhUSe6CZga1vOMpLTJP,https://api.spotify.com/v1/tracks/7wMPhUSe6CZga1vOMpLTJP,https://api.spotify.com/v1/audio-analysis/7wMPhUSe6CZga1vOMpLTJP,227928.0,4.0,1.0
2017,BIG SEAN,Sacrifices,1r0faljjM2b876iNoaDUh5,0.779,0.56,10.0,-7.564,0.0,0.253,0.258,0.0,0.241,0.421,142.032,audio_features,1r0faljjM2b876iNoaDUh5,spotify:track:1r0faljjM2b876iNoaDUh5,https://api.spotify.com/v1/tracks/1r0faljjM2b876iNoaDUh5,https://api.spotify.com/v1/audio-analysis/1r0faljjM2b876iNoaDUh5,287320.0,4.0,1.0
2017,MARTIN GARRIX,Scared To Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,0.584,0.54,1.0,-7.786,0.0,0.0576,0.0895,0.0,0.261,0.195,137.972,audio_features,3ebXMykcMXOcLeJ9xZ17XH,spotify:track:3ebXMykcMXOcLeJ9xZ17XH,https://api.spotify.com/v1/tracks/3ebXMykcMXOcLeJ9xZ17XH,https://api.spotify.com/v1/audio-analysis/3ebXMykcMXOcLeJ9xZ17XH,220883.0,4.0,1.0
2017,LORDE,Green Light,6ie2Bw3xLj2JcGowOlcMhb,0.594,0.721,2.0,-7.812,1.0,0.0957,0.0209,8.55e-06,0.0879,0.253,128.942,audio_features,6ie2Bw3xLj2JcGowOlcMhb,spotify:track:6ie2Bw3xLj2JcGowOlcMhb,https://api.spotify.com/v1/tracks/6ie2Bw3xLj2JcGowOlcMhb,https://api.spotify.com/v1/audio-analysis/6ie2Bw3xLj2JcGowOlcMhb,234653.0,4.0,1.0
2017,ED SHEERAN,Dive,51ChrwmUPDJvedPQnIU8Ls,0.761,0.386,4.0,-6.158,1.0,0.0399,0.355,0.0,0.0953,0.526,134.943,audio_features,51ChrwmUPDJvedPQnIU8Ls,spotify:track:51ChrwmUPDJvedPQnIU8Ls,https://api.spotify.com/v1/tracks/51ChrwmUPDJvedPQnIU8Ls,https://api.spotify.com/v1/audio-analysis/51ChrwmUPDJvedPQnIU8Ls,238440.0,3.0,1.0
2017,ED SHEERAN,Happier,2RttW7RAu5nOAfq6YFvApB,0.522,0.385,0.0,-7.355,1.0,0.0288,0.536,0.0,0.135,0.236,89.792,audio_features,2RttW7RAu5nOAfq6YFvApB,spotify:track:2RttW7RAu5nOAfq6YFvApB,https://api.spotify.com/v1/tracks/2RttW7RAu5nOAfq6YFvApB,https://api.spotify.com/v1/audio-analysis/2RttW7RAu5nOAfq6YFvApB,207520.0,4.0,1.0
2017,6LACK,Prblms,4AtZRwSR8BOTTQg5ihSggt,0.417,0.58,9.0,-4.574,1.0,0.207,0.0307,1.45e-06,0.179,0.139,68.58,audio_features,4AtZRwSR8BOTTQg5ihSggt,spotify:track:4AtZRwSR8BOTTQg5ihSggt,https://api.spotify.com/v1/tracks/4AtZRwSR8BOTTQg5ihSggt,https://api.spotify.com/v1/audio-analysis/4AtZRwSR8BOTTQg5ihSggt,246773.0,5.0,1.0
2017,FUTURE,Comin Out Strong,1B87ZDrD3Pno9hS4stamWO,0.628,0.481,1.0,-7.775,1.0,0.475,0.29,0.0,0.118,0.33,108.761,audio_features,1B87ZDrD3Pno9hS4stamWO,spotify:track:1B87ZDrD3Pno9hS4stamWO,https://api.spotify.com/v1/tracks/1B87ZDrD3Pno9hS4stamWO,https://api.spotify.com/v1/audio-analysis/1B87ZDrD3Pno9hS4stamWO,254370.0,5.0,1.0
2017,ED SHEERAN,Galway Girl,0afhq8XCExXpqazXczTSve,0.624,0.876,9.0,-3.374,1.0,0.1,0.0735,0.0,0.327,0.781,99.943,audio_features,0afhq8XCExXpqazXczTSve,spotify:track:0afhq8XCExXpqazXczTSve,https://api.spotify.com/v1/tracks/0afhq8XCExXpqazXczTSve,https://api.spotify.com/v1/audio-analysis/0afhq8XCExXpqazXczTSve,170827.0,4.0,1.0
2017,JOSH TURNER,Hometown Girl,5C6uh95eAL0RBTSGXKQwvk,0.502,0.792,3.0,-5.473,0.0,0.0335,0.304,0.0385,0.143,0.44,155.902,audio_features,5C6uh95eAL0RBTSGXKQwvk,spotify:track:5C6uh95eAL0RBTSGXKQwvk,https://api.spotify.com/v1/tracks/5C6uh95eAL0RBTSGXKQwvk,https://api.spotify.com/v1/audio-analysis/5C6uh95eAL0RBTSGXKQwvk,215080.0,4.0,1.0
2017,NICKI MINAJ,No Frauds,7KcGEssn7BnJdTgildK5y0,0.867,0.558,1.0,-6.975,1.0,0.258,0.0884,4.05e-06,0.541,0.432,139.061,audio_features,7KcGEssn7BnJdTgildK5y0,spotify:track:7KcGEssn7BnJdTgildK5y0,https://api.spotify.com/v1/tracks/7KcGEssn7BnJdTgildK5y0,https://api.spotify.com/v1/audio-analysis/7KcGEssn7BnJdTgildK5y0,272453.0,4.0,1.0
2017,NICKI MINAJ,Changed It,63NTlJWNS65JjsE3QJYr20,0.807,0.64,11.0,-8.329,0.0,0.399,0.628,0.0,0.115,0.649,143.98,audio_features,63NTlJWNS65JjsE3QJYr20,spotify:track:63NTlJWNS65JjsE3QJYr20,https://api.spotify.com/v1/tracks/63NTlJWNS65JjsE3QJYr20,https://api.spotify.com/v1/audio-analysis/63NTlJWNS65JjsE3QJYr20,295653.0,4.0,1.0
2017,FRANK OCEAN,Chanel,6Nle9hKrkL1wQpwNfEkxjh,0.776,0.503,0.0,-5.732,0.0,0.237,0.874,0.0,0.112,0.473,110.134,audio_features,6Nle9hKrkL1wQpwNfEkxjh,spotify:track:6Nle9hKrkL1wQpwNfEkxjh,https://api.spotify.com/v1/tracks/6Nle9hKrkL1wQpwNfEkxjh,https://api.spotify.com/v1/audio-analysis/6Nle9hKrkL1wQpwNfEkxjh,210285.0,4.0,1.0
2017,LORDE,Liability,6Kkt27YmFyIFrcX3QXFi2o,0.587,0.229,10.0,-11.254,0.0,0.128,0.92,0.0,0.1,0.379,75.67,audio_features,6Kkt27YmFyIFrcX3QXFi2o,spotify:track:6Kkt27YmFyIFrcX3QXFi2o,https://api.spotify.com/v1/tracks/6Kkt27YmFyIFrcX3QXFi2o,https://api.spotify.com/v1/audio-analysis/6Kkt27YmFyIFrcX3QXFi2o,171728.0,4.0,1.0
2017,NICKI MINAJ,Regret In Your Tears,0j8zLbIueSkVqB3Tl6PsjA,0.77,0.477,0.0,-10.972,0.0,0.0802,0.749,0.208,0.166,0.248,106.128,audio_features,0j8zLbIueSkVqB3Tl6PsjA,spotify:track:0j8zLbIueSkVqB3Tl6PsjA,https://api.spotify.com/v1/tracks/0j8zLbIueSkVqB3Tl6PsjA,https://api.spotify.com/v1/audio-analysis/0j8zLbIueSkVqB3Tl6PsjA,229573.0,4.0,1.0
2017,FUTURE,Selfish,6yHkPtl6UQ7RjtJLBPzbJw,0.415,0.369,8.0,-10.044,1.0,0.0741,0.0303,7.64e-06,0.383,0.0913,95.746,audio_features,6yHkPtl6UQ7RjtJLBPzbJw,spotify:track:6yHkPtl6UQ7RjtJLBPzbJw,https://api.spotify.com/v1/tracks/6yHkPtl6UQ7RjtJLBPzbJw,https://api.spotify.com/v1/audio-analysis/6yHkPtl6UQ7RjtJLBPzbJw,251423.0,4.0,1.0
2017,GUCCI MANE,Make Love,2jIT1TfSIjVik7Qu1B6P5h,0.972,0.563,11.0,-6.983,1.0,0.156,0.00528,0.00257,0.111,0.217,129.984,audio_features,2jIT1TfSIjVik7Qu1B6P5h,spotify:track:2jIT1TfSIjVik7Qu1B6P5h,https://api.spotify.com/v1/tracks/2jIT1TfSIjVik7Qu1B6P5h,https://api.spotify.com/v1/audio-analysis/2jIT1TfSIjVik7Qu1B6P5h,300160.0,4.0,1.0
2017,ED SHEERAN,Eraser,7oolFzHipTMg2nL7shhdz2,0.64,0.812,8.0,-5.647,0.0,0.0834,0.086,0.0,0.0509,0.914,86.013,audio_features,7oolFzHipTMg2nL7shhdz2,spotify:track:7oolFzHipTMg2nL7shhdz2,https://api.spotify.com/v1/tracks/7oolFzHipTMg2nL7shhdz2,https://api.spotify.com/v1/audio-analysis/7oolFzHipTMg2nL7shhdz2,227427.0,4.0,1.0
2017,ED SHEERAN,Hearts Dont Break Around Here,2dfHh7ECGxfNqZTQno09Vk,0.604,0.366,7.0,-7.881,1.0,0.0267,0.719,0.0,0.162,0.181,105.177,audio_features,2dfHh7ECGxfNqZTQno09Vk,spotify:track:2dfHh7ECGxfNqZTQno09Vk,https://api.spotify.com/v1/tracks/2dfHh7ECGxfNqZTQno09Vk,https://api.spotify.com/v1/audio-analysis/2dfHh7ECGxfNqZTQno09Vk,248413.0,3.0,1.0
2017,ED SHEERAN,Barcelona,3Lfiu5sZ4M4B6JaKMBc0FU,0.747,0.76,1.0,-4.294,1.0,0.187,0.448,0.0,0.153,0.682,99.975,audio_features,3Lfiu5sZ4M4B6JaKMBc0FU,spotify:track:3Lfiu5sZ4M4B6JaKMBc0FU,https://api.spotify.com/v1/tracks/3Lfiu5sZ4M4B6JaKMBc0FU,https://api.spotify.com/v1/audio-analysis/3Lfiu5sZ4M4B6JaKMBc0FU,191147.0,4.0,1.0
2017,ED SHEERAN,What Do I Know?,2pJZ1v8HezrAoZ0Fhzby92,0.838,0.492,1.0,-5.69,0.0,0.038,0.251,0.0,0.262,0.895,115.092,audio_features,2pJZ1v8HezrAoZ0Fhzby92,spotify:track:2pJZ1v8HezrAoZ0Fhzby92,https://api.spotify.com/v1/tracks/2pJZ1v8HezrAoZ0Fhzby92,https://api.spotify.com/v1/audio-analysis/2pJZ1v8HezrAoZ0Fhzby92,237333.0,4.0,1.0
2017,ED SHEERAN,New Man,5HDPtsnyb3maFmPL8LLUTG,0.78,0.745,7.0,-3.97,1.0,0.145,0.0559,0.0,0.0595,0.862,94.026,audio_features,5HDPtsnyb3maFmPL8LLUTG,spotify:track:5HDPtsnyb3maFmPL8LLUTG,https://api.spotify.com/v1/tracks/5HDPtsnyb3maFmPL8LLUTG,https://api.spotify.com/v1/audio-analysis/5HDPtsnyb3maFmPL8LLUTG,189280.0,4.0,1.0
2017,ED SHEERAN,Supermarket Flowers,4VuS959DSpr82t3qBqCrWG,0.589,0.242,6.0,-10.517,1.0,0.0442,0.914,0.0,0.0887,0.257,89.749,audio_features,4VuS959DSpr82t3qBqCrWG,spotify:track:4VuS959DSpr82t3qBqCrWG,https://api.spotify.com/v1/tracks/4VuS959DSpr82t3qBqCrWG,https://api.spotify.com/v1/audio-analysis/4VuS959DSpr82t3qBqCrWG,221107.0,4.0,1.0
2017,DADDY YANKEE,Shaky Shaky,7gcMKL3lnDxsp4bIXyv6Zk,0.899,0.626,6.0,-4.228,0.0,0.292,0.076,0.0,0.0631,0.873,88.007,audio_features,7gcMKL3lnDxsp4bIXyv6Zk,spotify:track:7gcMKL3lnDxsp4bIXyv6Zk,https://api.spotify.com/v1/tracks/7gcMKL3lnDxsp4bIXyv6Zk,https://api.spotify.com/v1/audio-analysis/7gcMKL3lnDxsp4bIXyv6Zk,234320.0,4.0,1.0
